id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
8fb7ab81-a38d-4934-84b4-cd57203ce805,292b36a0ab84f6022c19fafc224ce4d2a090fa4a4df94a861480c5835ff6f864,2026-03-06 06:48:59.623567+00,20251222062720_init,,,2026-03-06 06:48:58.992112+00,1
57775eb2-4ff4-4705-92a4-54c6adcb16bc,b0aaf0b71b3632fc6539ffa5fc65f4c03af009121a1c37668983321d9794f473,2026-03-06 06:48:59.702096+00,20251230064827_init,,,2026-03-06 06:48:59.624567+00,1
d8b5b049-3380-48d6-92ec-45648f16db26,6672b12b3fcbba7c40ad7e0601611130215b0b8cac795f583f7d935fe87fa215,2026-03-06 06:48:59.707649+00,20260105080731_added_nopol_to_employee,,,2026-03-06 06:48:59.703034+00,1
d2f4ff43-7e3f-4ef8-a959-6cdc835d939b,0296797299a88cb9ed27d4bac1b13c811a95d1bd1ec78f2dd6081b8b1f3555c7,2026-03-06 06:48:59.714972+00,20260113075535_add_locations_with_postgis,,,2026-03-06 06:48:59.708428+00,1
0d4762bd-d07f-45ea-a846-8b3c9026eca9,b8193e92dffe3e9c18f990d16b76f33a1f4062db1009578286b6fa1cf15495ff,2026-03-06 06:48:59.718098+00,20260113081202_optional_feature,,,2026-03-06 06:48:59.715704+00,1
72f0adf3-efa3-4381-8db5-3e6f3c9fa192,e05ea3f236a8d5a43086fadafedc1ec80df89710c58fa1bce0861293858f72fd,2026-03-06 06:48:59.72192+00,20260114040237_add_location_id_to_customers,,,2026-03-06 06:48:59.718825+00,1
14a40d9e-2570-4877-9aed-bdf6f183b6bc,6b3939b5ff066c92064f1f4c05f3860998ebdf98c638ab27c69e18878843991a,2026-03-06 06:48:59.749763+00,20260114091052_init_layers,,,2026-03-06 06:48:59.722799+00,1
8a239cae-6a67-47d7-956b-15183637587a,8cc7a8da651233bc496e43449f5130ba67cda5965e7002e6921cba8a4d60b3f4,2026-03-06 06:48:59.773475+00,20260203073552_add_sales_targets,,,2026-03-06 06:48:59.750781+00,1
3c15b187-453d-4d59-819b-7b9b9ba8819c,18ff5f087d6e11c80b9d1746abf51fa20804a47c0d7d1a1f87e48f5a71766079,2026-03-06 06:48:59.799069+00,20260218064630_add_base_price_and_customer_price,,,2026-03-06 06:48:59.77433+00,1
d8ebceba-0e95-4d90-9f02-650571f4f4dc,e784a30224a6fceaddb3f1a1c366684f14d0f5f5eb39ed986f7543ef26561039,2026-03-06 06:48:59.803563+00,20260219061149_add_created_by_to_customer,,,2026-03-06 06:48:59.80005+00,1
da916bac-7744-4f2d-a07a-2ee36b43c409,ec77ff32be89fa23ba2ec939a3fdbe91650e54d5b357e446da9070257606f460,2026-03-06 06:48:59.806815+00,20260220031909_add_details_to_delivery,,,2026-03-06 06:48:59.804424+00,1
aad96645-53bb-40e1-905a-3b7ed4bddbc6,d6b9262b06a7bfe90aea8072cbc2215db2a5ef2082f108616e0d449c573d8800,2026-03-06 06:48:59.81022+00,20260304025025_optional_channel_and_price,,,2026-03-06 06:48:59.807584+00,1
354f7315-6982-4d73-b16f-518d821f45bd,0db7c8f81be3cf20f53abdd160556abfb89305735446cd63d09751915360f73d,2026-04-02 03:54:22.678165+00,20260402025208_add_api_logs,,,2026-04-02 03:54:22.620679+00,1
